,projectAmount,initialObligationAmount,federalShareObligated,costSharePercentage,benefitCostRatio,netValueBenefits
1126,158033.51,131280.75,118525.13,0.75,0,0
1129,6754542.9,6606442.26,6606442.26,0.98,1.03,6945530
1130,284700,256229.9,162276.18,0.9,1.97,7731968
1135,1551467.72,746517,1150750,0.74,3.17,4628230
1136,0,4337,0,0.55,1.37,21420
1137,6770,4337,4162,0.61,1.37,21420
1138,155409,151462,116557,0.75,1.19,240188
1139,354700,293623,266025,0.75,0,0
1140,1183317,253106,839208,0.71,1.27,1647105
1141,1573399,48886,1180049,0.75,3.65,5101600
1142,482790,463050,341800,0.71,12.29,52775
1143,1505843,146770,1129382,0.75,1.48,2590851
1145,60000,45000,45000,0.75,2.27,135072
1146,2692,1935,1935,0.72,0,0
1147,113825,69000,85369,0.75,2.83,263841
1148,358125,268594,268594,0.75,1.08,386775
1149,248349,473660,186262,0.75,2.65,657475
1151,3203,3261,3202.54,1,0,0
1152,162112,141777,141777,0.87,1.06,188852
1153,249217.9,250070,249217.9,1,0,0
1154,25199,21825,18899,0.75,0,0
1155,20000,15000,15000,0.75,0,0
1156,21592,21592,21592,1,0,0
1159,36743,90000,27557.15,0.75,0,0
1160,63481,16826,47611,0.75,14.17,899420
1161,291611,218705,218708,0.75,1.09,337800
1162,14385.32,74621,10788.13,0.75,2.05,214331
1163,6181,4278,4000,0.65,1.37,21420
1164,28000,21000,21000,0.75,0,0
1165,85086,129776,63814,0.75,1.18,221539
1166,13483.84,25073,10112.89,0.75,1.25,44797
1167,187593,130103,130102.5,0.69,7.17,1229899
1168,1530478.89,1554556.76,1554556.76,1,1.56,2423279
1170,157778.13,192050.67,157778.13,1,1,157778.13
1172,7056,5644,5292,0.75,0,0
1173,0,101526,0,0.75,2.26,339889
1175,2907000,2317148,2180250,0.75,3.19,10113033
1177,9345.95,7466.03,7009.46,0.75,1.15,11398
1180,2415010,2294259.5,2173509,0.9,1.91,5018560
1181,197803,34200,34200,0.9,0,0
1183,161000,112000,120750,0.75,0,0
1184,350000,332450,315000,0.9,0,0
1185,328821.2,262994.99,246615.9,0.75,0,0
1186,382780,306197.32,287085,0.75,0,0
1187,729267,288373,546950,0.75,1.67,1297883
1188,0,125006,0,0.75,9.68,26509205
1189,101158,103057,101158,1,0,0
1190,73196,73269,73196.79,1,0,0
1191,17000,12750,12750,0.75,0,0
1192,2087492,1514067,1514067,0.73,3.35,7001149
1193,94942,73606,71207,0.75,1.66,165637
1194,0,27368,0,0.75,0,0
1195,965626,965626,965626,1,1.2,1142368.5
1196,696750,522562,463388.79,0.75,2.49,1941940
1201,14870,11250,11120,0.75,0,0
1202,22326,18186,16745,0.75,0,0
1203,0,4337,0,0.55,1.37,21420
1204,199383,10281,199382.73,1,0,0
1205,36068,26768,26768,0.74,0,0
1207,34148,25611,25611,0.75,0,0
1208,0,46980,0,0,0,0
1210,256184,125000,0,0.74,1.04,310357
1211,80888,64204,60666,0.75,7.42,687621
1212,221375,187500,149500,0.68,0,0
1213,276452,207339,207339,0.75,0,0
1217,8275496.19,8275496.19,8275496.19,1,1.01,8361821
1218,8274,6546.6,7446.6,0.9,0,0
1219,8175.3,7357.77,7357.77,0.9,0,0
1221,798500,758574.95,0,0.9,1,798500
1222,0,265050,0,0,0,0
1226,899500,854525,809550,0.9,0,0
1227,93185,234941.25,69888.75,0.75,1.57,531973
1228,63630,47722.5,47722.5,0.75,1.97,176459
1229,1753608.19,902073,1291796,0.74,4.57,7463330
1230,40000,30000,30000,0.75,0,0
1231,52272,38302,39204,0.75,0,0
1232,0,12942,0,0.58,1.37,21420
1233,8736288.28,1395000,4338445.66,0.5,2.39,269744
1234,50579,12307,50580,1,0,0
1235,81912.26,68194,61434.2,0.75,1.13,104559
1245,938489.85,703867.39,703867.39,0.75,1.29,1480599
1270,8213,6159.75,0,0.75,0,0
1272,0,27744.75,0,0.75,0,0
1273,0,239025.76,0,0.71,2.32,795882
1274,150000,64000,112500,0.75,0,0
1275,453892,259246.35,236551.75,0.52,0,0
1276,381224,102144,102144,0.75,1.46,507367
1277,2028481.18,169040.1,338080.2,0.75,1.01,2054203
1278,159970,127975.9,119977.4,0.75,2.72,3415013
1287,764250,573187,573187,0.75,3.86,2979242
1288,151462.75,131171,113597.06,0.75,6.94,1229899
1289,1107771,871376,830828,0.75,1.01,377753
1290,125140,121597,93855,0.75,0,0
1292,3513,3513,3513,1,0,0
1293,12100,40050,9075,0.75,1.22,64864
1294,52407,39507,39238,0.75,0,0
1295,402910,493545,302181.82,0.75,4.04,2969310
1297,26560,21702,19920,0.75,0,0
1298,1060935,795701,795701,0.75,1.41,1590436
1299,57884,51750,43413,0.75,1.29,105204
1304,1700000,1275000,1275000,0.75,1.89,3307369
1307,6840.07,65076.64,5130,0.75,1.08,93492
1309,0,310683.75,0,0.75,0,0
1310,446000,334500,334500,0.75,10.15,4919268
1312,55937.48,42000,41953.11,0.75,0,0
1314,1227460,955413,920595,0.75,2.78,4441154
1315,9290,8361,8361,0.9,1,9290
1318,166527,116678,124895,0.75,0,0
1319,358674.43,149813,149812.5,0.42,1.35,258100
1320,1173480.26,1097850,880110.19,0.75,1,1463800
1321,79195,85320,59396.74,0.75,0,0
1322,311626.77,192000,181600.14,0.58,9.18,1763170
1323,426823,31367,318431.44,0.75,12.55,7218013
1324,44983.05,27000,33737.29,0.75,0,0
1326,5944765,1186542,4458573.75,0.75,1.29,17834240
1327,68245,65960,65960,0.97,1.17,92255
1328,2072400,55148,1554300,0.75,1.2,2484000
1329,99025,79472,74269,0.75,0,0
1331,253066,189799.5,189799.5,0.75,2.53,639678
1332,370007,277505,277505,0.75,0.13,35480
1333,619080,464310,464310,0.75,1.27,724141
1339,378321.12,281908,281908,0.75,0,0
1340,190550.5,125742.75,141204,0.74,0,0
1341,458101.97,381558,343576.48,0.75,2.26,1204052
1348,258003,193502.24,193502.24,0.75,1.04,255946
1351,465533.76,330948.71,330948.71,0.71,1.44,616495
1354,6614,5290.5,4960.5,0.75,0,0
1356,7280,5824,5460,0.75,1.83,13337
1357,2333000,120000,112500,0.75,1.07,2557071
1358,406463,169398.75,304847.25,0.75,0,0
1360,2469069,1871004.15,1851801.75,0.75,1.7,4769092
1361,30231.38,9205.45,8767.1,1,1.01,44127
1362,46446.88,48769.22,46446.88,1,4.55,211231
1363,0,369450,0,0.9,36.05,14853038
1364,0,128591.25,0,0.75,0,0
1365,31949,28952,31949,1,0,0
1367,27111.57,21689.26,20333.68,0.75,0,0
1369,162189,106291,106291,0.66,1.08,154554
1370,99958,78849,74969,0.75,0,0
1371,376774.03,64178,376774.03,1,0,0
1372,51669,38119,38749,0.75,0,0
1373,274887,294438,206165,0.75,2.83,1108903
1374,31175,28830,23381,0.75,0,0
1375,2486654.37,205650,1864690.75,0.75,1.62,3319401
1376,648575.42,108225,648575.42,1,0,0
1377,137894,83750,82471.13,0.6,918.32,73465440
1378,879569,960161,879569,1,0,0
1382,234468.42,284685.65,175851.31,0.75,2.3,550000
1388,183500,137625,137625,0.75,3.32,609190
1389,55684.8,50116.32,118800,0.9,1,1
1391,400000,250000,250000,0.63,1,400000
1394,720000,540000,540000,0.75,1.49,16620
1399,49600,37200,37200,0.75,1,1
1406,2954625,158985.75,2215968.75,0.75,1.19,3858107
1407,7680,6124,5760,0.75,0,0
1408,300000,225000,225000,0.75,0,0
1411,0,142555.5,0,0.75,0,0
1412,580375.36,81375,77500,1,1,580375
1413,3986114.56,2582050.8,2582050.8,0.65,1.57,6236875
1415,17327,51304,12996,0.75,0,0
1416,5876,71794,3721.25,0.63,0,0
1417,1206322,766905,904741,0.75,2.27,2679450
1419,250554,142080,142080,0.57,1.66,457971
1421,546239,409679.25,409679.25,0.75,1.45,792990
1424,202200,139869.54,139869.54,0.69,15.33,3311882
1425,86185.6,85024.52,64639.2,0.75,3.26,276000
1426,1339590,1004692.5,1004692.5,0.75,3.05,4085534
1429,2551307.23,2999865.47,1913480.42,0.75,68.94,276013210
1430,0,478124.99,0,0.75,3.16,4089526
1431,249563.75,249563.75,209895,1,1.11,276000
1433,2224778.46,1540736.65,1495061.54,0.69,1.43,2981637
1434,80000,40493.82,40493.82,0.51,4.07,386098
1437,265959.4,199469.55,199469.55,0.75,1.21,321527
1438,294991.72,241896,221243.79,0.75,3.47,1204052
1443,150000,112000,112000,0.75,1,150000
1444,5689013,3000000,3000000,0.53,1.94,8591714
1450,88633653.18,102716260,66475239.89,0.75,0,0
1451,0,4808,0,0.75,0,0
1452,129026,110475,96762,0.75,8.4,1261404
1453,181650,150000,136235,0.75,0,0
1454,1075001,35000,806250.59,0.75,1.8,1923862
1455,4369933,4286751,3277449,0.75,0,0
1456,3349623,210960,2512217,0.75,10.31,2898553
1457,246100.33,115496,184575.25,0.75,4.91,782226
1458,3205323,147535,3205323,1,1.27,3001761
1459,97101,100185,72826,0.75,0,0
1460,0,116006,0,0.75,2.75,444619
1461,41386,28125,28125,0.68,0,0
1462,124252,102418,93189,0.75,1.06,161711
1463,418783,694127,314088,0.75,1.72,3833199
1464,72900,52088,54674,0.75,5.69,379256
1465,70553,82875,52914,0.75,2.5,276051
1467,18573,14176,13930,0.75,0,0
1468,2679805,82875,2009854.47,0.75,1.57,2691408
1469,0,22500,0,0.75,2.5,77476
1470,156281,42874,156281,1,0,0
1471,38757,26250,29067.75,0.75,0,0
1472,738203,570131,553652.27,0.75,1,760175
1473,15402,11794,11551.47,0.75,0,0
1500,251860,197543,188895,0.75,1.16,320815
1502,34940,42600,26205,0.75,0,0
1503,227150,207986,170362,0.75,1.3,359762
1504,3223,115061,3223,1,0,0
1505,0,590625,0,0.75,1.02,777899
1506,714684,578714,536013,0.75,0,0
1507,77812,8912,77814,1,0,0
1508,1620000,1215000,1215000,0.75,0,0
1509,13000,9750,9750,0.75,0,0
1510,120923,90692,35565,0.75,1.1,132917
1511,16924,14385,12693,0.75,0,0
1512,17350,13012,13012,0.75,0,0
1514,140500,126450,126450,0.9,1.1,154505
1516,161650,121237.5,121237.5,0.75,1.43,241193
1526,718239.67,25814.89,21581.89,0.75,1.26,997711
1527,30561827.05,514400.25,22921370.29,0.75,1.13,18925257
1528,57626,46091.25,43219.5,0.75,3.14,221341
1529,599630,216909,449722.5,0.75,17.44,11412334
1531,7056,5644,5292,0.75,0,0
1532,7680,6144,5760,0.75,0,0
1533,550396,339000,412797,0.75,2.14,1254462
1534,3503676,233856,1602360.39,0.75,4.81,28096353
1536,671100,424402.5,503325,0.75,4.92,3658809
1539,212682.1,162738,159511.58,0.75,8.61,2547331
1540,417758.81,320215.5,313319.11,0.75,3.63,1579600
1543,859466.23,1161238.5,1161238.5,0.75,1.36,2100000
1544,24501.81,18667,18376.36,0.75,0,0
1545,378872.88,320377.5,284154.66,0.75,4.61,2209998
1549,104100,80550,78075,0.75,1.87,374252
1550,44400,33712.5,33300,0.75,10.26,1309882
1552,101438,68291,76078,0.75,0,0
1553,2769471,139765.5,2077103.25,0.75,38.89,160883441
1555,0,248223,0,0.75,1.04,356757
1556,62676.07,61500,47007.05,0.75,0,0
1557,782668,32736,205256,1,0,0
1559,69400,60000,60000,0.86,1.06,81404
1560,0,50333,0,0.75,0,0
1561,2447717.28,2526075,2526075,0.75,1.01,3643200
1563,37500,28125,28125,0.75,0,0
1565,2118219.59,1588664.69,1588664.69,0.75,1,2118547
1571,73745.48,65755.5,55309.11,0.75,0,0
1573,3730821,2608286.75,2385477.75,0.67,1.07,4123262
1576,150000,112500,112500,0.75,4.78,716995
1577,981042,67775,981042,1,1.46,1798697
1578,0,178883,0,0,0,0
1579,50000,37500,37500,0.75,0,0
1580,322897,228718,242172.75,0.75,1.65,576695
1581,318681,237060,239010.75,0.75,1.31,462746
1582,0,150000,0,0.75,0,0
1583,0,58091,0,0.75,1.17,285597
1584,1365167.82,889500,957187.5,0.7,3.39,4321980
1585,413194.16,371874.74,371874.74,0.9,1,413194
1586,36900,33210,33210,0.9,1.11,68556
1587,14546.19,15750,10909.6,0.75,0,0
1588,688365,516273.75,516273.75,0.75,1.75,6729291
1590,781000,585750,585750,0.75,1.04,851384
1592,34482.86,183018.75,25860.09,0.75,8.32,2134651
1593,96755,72566.25,72566.25,0.75,1.23,127572
1595,195671.75,167399.25,146753.81,0.75,0,0
1596,492331,369248.25,369248.25,0.75,0,0
1597,6240,4992,4680,0.75,0,0
1598,26201,19500,19650.75,0.75,0,0
1599,12823.94,9637.5,9617.96,0.75,1.9,24392
1600,1445786.02,1084339.5,1084339.5,0.75,1,1
1605,160970,120727,120727,0.75,3.75,52771
1606,3854000,2890500,2867998.98,0.75,1.64,6326693.25
1613,516550,387413,387413,0.75,4.29,2257904
1614,256586,250000,0,0.97,1.85,569182
1615,248182.27,250000,248182.27,1,2.39,671875
1616,263676,249712,197757,0.75,0,0
1617,7264233,4518008,5871351,0.81,1.02,7627775
1619,203209.93,127512,152407.45,0.75,0,0
1622,7593.55,20250,2120,0.28,0,0
1623,75557,56667,56667,0.75,0,0
1624,1305241,90075,978930.75,0.75,1.29,1079715
1625,0,57268.41,0,0.75,0,0
1627,24993,19349.25,18744.75,0.75,0,0
1629,273728.34,102000,205296.26,0.75,2.38,323000
1630,150055.25,125361.75,112541.44,0.75,0,0
1631,7280,5824,5460,0.75,0,0
1635,1543275.87,1624765.99,1157454.65,0.75,1.96,4242300
1636,127950,115155,37156.54,0.9,2.16,276000
1637,216054.35,195000,162040.76,0.75,3.69,1057931
1638,130560,100000,97920,0.75,0,0
1640,160118,97500,120088.5,0.75,0,0
1641,66292.58,54788,49719.44,0.75,1.09,88555
1643,311420.36,286443.28,224898.12,0.72,6.56,2817079
1644,101385,76039,76038.75,0.75,0,0
1645,26930.55,24000,20197.91,0.75,0,0
1646,44432,27227.25,33324,0.75,1.55,75804
1647,95890,71918,0,0.75,0,0
1648,0,22080,0,0.75,1.24,487070
1649,0,980574,0,0.59,0,0
1650,114090,85567.5,85567.5,0.75,14.28,2283805
1653,357941.09,235625,230032.99,0.64,9.18,2112131
1654,873918.22,710520,649578.51,0.74,1.41,1944485
1656,129478,104568,97108.49,0.75,0,0
1657,40258.28,159839,30193.71,0.75,4.5,1069672
1659,198747,140249.8,0,0.71,0,0
1660,16194,16194,16194,1,0,0
1661,16891369,1153220.63,1153220.63,0.9,1.24,20912368
1663,2525563.15,1864334.97,1443951.33,0.57,4.16,13760268
1665,8720,6976,6540,0.75,0,0
1667,0,5824,0,0.75,1.83,13337
1668,6640,5312,4980,0.75,0,0
1669,8720,6976,6540,0.75,0,0
1671,0,5324,0,0.75,2,13337
1672,69103.79,55875,51827.84,0.75,1.33,97227
1674,6432,5145,4824,0.75,0,0
1675,71386.67,57644.25,53540,0.75,0,0
1676,8213,6159.75,6159.75,0.75,0,0
1680,366314.4,274735.8,274735.8,0.75,1.37,561438
1681,274600,169400,169400,0.62,2.7,683485
1682,879285.25,659463.94,659463.94,0.75,1.09,954782
1686,667000,500000,500000,0.75,1,667000
1687,164067,169113,123050.25,0.75,1.74,398063
1688,1002846.96,802277.56,752135.22,0.75,13.85,53782332
1689,0,6160,0,0.75,0,0
1690,6656,5324,4992,0.75,0,0
1692,150090,23936.25,23936.25,0.75,1.01,172127
1693,37601,276525,28200.73,0.75,1.86,769364
1694,34825,30469,26118,0.75,0,0
1695,704200,423149,528150,0.75,1.26,888216
1696,90588.5,93303,55492.5,0.61,1.37,21420
1703,89525.08,84975.08,80530.08,0.9,0,0
1704,117200,105480,105480,0.9,0,0
1705,1240025,150000,150000,0.75,1.52,2204256
1707,1619813,1538822.35,1457831.7,0.9,2.36,3803714
1709,6300.32,5977.38,5670.29,0.9,0,0
1710,8175.3,7357.77,7357.77,0.9,1,1
1714,81743.47,12012,11440,1,30.15,2786214
1715,25000,18750,22500,0.9,0,0
1717,150000,120000,112500,0.75,2.04,317882
1718,2214893,284517,399426.3,0.9,1.52,3422633
1719,48629,70977,36335,0.75,1.37,21420
1720,62500,46875,46875,0.75,0,0
1721,83063,62162,62297,0.75,0,0
1722,17000,12765,12000,0.71,1.37,21420
1723,38580,382050,28933,0.75,7.94,4967053
1724,70775,54097,53081,0.75,0,0
1725,67806.5,67403,50854.88,0.75,5.16,521648
1726,195655.3,230240,146741.47,0.75,3.47,1196982
1727,3355,269250,3355,1,0,0
1729,97000,92880,97000,1,0,0
1730,1300000,975000,975000,0.75,0,0
1731,41119.94,30840,30839.95,0.75,0,0
1732,2302262,1726697,1726696.5,0.75,1.51,3176304
1733,0,143148.14,0,0.63,0,0
1738,220260,23750,198234,0.9,0,0
1739,888567.68,558833.54,558833.54,0.63,1,888568
1741,7965.3,7168.77,7168.77,0.9,1,1
1742,28473.7,18693.59,25626.33,0.9,0,0
1755,2845228,1459689.75,2133921,0.75,1.74,4295327
1756,195727.5,156582.01,146795.63,0.75,0,0
1757,2957703,304089.75,2218277.25,0.75,4.35,4245617
1759,22552.62,17700,20297.36,0.9,0,0
1760,99105.61,104025.61,99105.61,1,1.6,180118
1762,599409,305250,449556.75,0.75,2.08,1311163
1764,725000,580000,543750,0.75,1.17,851000
1765,48000,36000,36000,0.75,0,0
1766,110983,80836.5,80836.5,0.73,4,484876
1767,119499,81204,89624.25,0.75,8.49,1014180
1768,35000,28000,26250,0.75,44.82,91967271
1770,469400,78300,73575,0.75,26.03,14680359
1771,210418.72,598587.2,157814.05,0.75,2.96,748234
1772,6339250,401250,459375,0.75,1.62,11130780
1773,235059,68165.25,176294.25,0.75,0,0
1774,2374097.9,493657,2374097.89,1,0,0
1775,6640,5312,4980,0.75,0,0
1776,1560000,1170000,1170000,0.75,5.98,10396337
1777,7056,5644,5292,0.75,0,0
1778,1234759,113271,165603,0.75,1.97,2697094
1779,0,19387.5,0,0.75,1.08,298332
1780,845000,633750,633750,0.75,8.26,7319576
1781,6614,5494,4960.5,0.75,0,0
1783,26831.99,28500,20123.99,0.75,2.88,113092
1784,82602,80123.55,80123.55,1,0,0
1785,21500,15750,16125,0.75,0,0
1787,164003,123002.25,123002.25,0.75,0,0
1789,873545.27,510950.25,653283.95,0.75,1.05,912000
1792,209240,118513.5,118513.5,0.75,1,150000
1796,272100,204075,204075,0.75,3.04,826311
1798,4481055.27,70969.5,3360791.45,0.75,5.16,26548440
1799,16300,12225,12225,0.75,1.05,224579
1800,117111,81264,81264,0.69,3.04,385899
1801,23129,35400,17347,0.75,10.57,498750
1803,14500,6058,14500,1,0,0
1804,77346.51,58326,58009.87,0.75,0,0
1805,10264653.2,125511,7698489.9,0.75,1.18,7639421
1806,184300,93573,138225,0.75,1.12,227517
1807,199120,159278.49,149340,0.75,0,0
1808,42882.09,69806.25,42882.09,0.75,1.89,552000
1809,50000,40000,37500,0.75,0,0
1811,682368.32,615850.4,511776.24,0.75,16.99,14977591
1813,2661444,1996083,1996083,0.75,0,0
1816,4400947.49,3679792.5,3679792.5,0.75,1.79,8000127
1819,132917.81,121950,119626.03,0.9,2.34,331833
1825,213760,152820,160320,0.75,7.52,1773878
1826,100850,80679.5,75637.5,0.75,1.18,131110
1828,7396,5916,5547,0.75,0,0
1829,426388,341111,383749.2,0.9,0,0
1830,22552.62,19384.76,20297.36,0.9,0,0
1832,150002,120000,112500,0.75,4.63,727430
1835,76414.62,80235.35,76414.62,1,7.98,667545
1836,102383,89288,76786.87,0.75,0,0
1837,379173,821438,821438,0.75,1.41,1542920
1840,639480,479610,479610,0.75,2.38,1521265
1841,231000,163125,173250,0.75,1,217500
1843,205685.25,142931,154263.94,0.75,4.41,1066947
1844,4126703,337500,1039263.75,0.75,4.28,18359091
1847,345833.68,259501.66,259375.26,0.75,3.41,398695
1854,1844091,1379072.16,1379072.16,0.75,2.54,5396151
1861,21147,21147,21147,1,9.01,440659
1863,1340860,1005645,1005645,0.75,3.06,4103961
1864,256597.29,242541,192447.97,0.75,0,0
1866,1466200,749961.3,1099650,0.75,1.08,1577453
1868,7680,6144,5760,0.75,0,0
1870,6287,5029.25,4715.25,0.75,0,0
1873,215250,130000,121875,0.57,1.3,291206
1874,6656,5324,4992,0.75,0,0
1875,7280,5824,5460,0.75,0,0
1876,2374823.14,1438163.19,1781117.35,0.75,0,0
1877,7396,5916,5547,0.75,0,0
1878,17349.66,17990.25,13012.24,0.75,0,0
1879,639137,636889.57,479352.75,0.75,13.72,9140839
1880,30000,28000,27000,0.9,0,0
1881,99993.5,74995.12,74995.12,0.75,1,99993.5
1886,3539755,2654815.5,664505.5,0.75,1.01,3558565
1888,35858.97,26894.23,26894.23,0.75,9.34,334736
1893,34389,8000,8000,1,6.93,238228
1894,106605,107100,79953.77,0.75,1,142800
1895,450,359,337.59,0.75,0,0
1896,252218.27,151200,189148.58,0.75,2.04,554279
1898,307697,177092,230772.25,0.75,1.87,625882
1900,119095,89321,0,0.75,9.8,2345668
1901,39910.28,111977.25,29932.71,0.75,0,0
1902,443850,332887.5,332887.5,0.75,7.24,3605975
1903,212710.98,162738,159533.24,0.75,6.32,1868779
1904,1083574.96,779250,812681.22,0.75,1.37,1526299
1905,96463,23523,23523,0.75,5.08,636753
1906,675293.21,804806.25,506469.91,0.75,6.57,8832344
1907,41280,22659,22658.17,0.55,0,0
1910,7696,6156,5772,0.75,1.73,13337
1911,997300,632565,747975,0.75,1.02,1018782
1912,40201,32000,30150.75,0.75,0,0
1914,35000,28000,26250,0.75,1.36,55267
1915,150000,120000,112500,0.75,1.65,257057
1916,43928.14,46124.54,43928.14,1,5.09,279030
1918,67317,50487.75,50487.75,0.75,0,0
1923,100184.4,75134.4,75134.4,0.75,1.75,175000
1928,77506.16,81381.47,77506.16,1,2.21,195210
1930,76414.61,80229.61,76414.61,1,1.89,173979
1931,3677833,494554.5,2758374.75,0.75,1.21,9977305
1938,139000,104250,104250,0.75,1.32,2037609
1939,418200,235075,214200,0.51,1.14,30836
1940,128400,134820,128400,1,9.13,13336897
1942,200000,190000,180000,0.9,0,0
1943,173316,164650.2,155984.4,0.9,0,0
1944,521500,495425,469350,0.9,1.46,760865
1945,150000,67622.86,135000,0.9,1.24,195694
1946,94100,52537.05,84690,0.9,2.16,221372
1950,1200471.2,120159,113859,0.9,4.09,4914874
1963,51600,38700,38700,0.75,0,0
1964,719699,640968,538599,0.75,0,0
1965,61701,46500,46276,0.75,0,0
1966,144841,23870,144841,1,0,0
1967,7429,9155,7428.69,1,0,0
1968,24496,176250,18372,0.75,1.2,292092
1969,0,18723,0,0.75,0,0
1970,189828,142080,142080,0.75,1.41,296145
1971,642536,557231,481902,0.75,1.15,852285
1972,395775,194831,201759,0.51,1.94,780525
1974,199968.99,186090,149976.74,0.75,1.36,4275169
1975,413945.57,338520.5,310459.17,0.75,1.05,444205
1977,50000,47500,45000,0.9,0,0
1978,99148.96,89234.06,89234.06,0.9,0,0
1982,9697856,4626731.8,4141839,0.43,1.6,15804200
1983,46025,41422.5,41422.5,0.9,0,0
1984,200000,159090,150000,0.75,0,0
1986,200000,160000,150000,0.75,0,0
1989,240000,132000,120000,0.5,1.82,52640
2000,1255100,1192340,1129590,0.9,0,0
2005,333333.34,250000.49,200494.67,0.75,7.35,1836636
2008,1365000,1023750,1023750,0.75,19.94,29324295
2009,1333334.01,1000000,739965.24,0.75,9.18,9183180
2013,493365.26,370023.94,370023.94,0.75,2.85,2228550
2017,350385,350385,350385,1,1.95,683482
2022,306691,146319,230018,0.75,2.1,387682
2023,160648,126172,0,0.75,0,0
2024,8429,6707,6322,0.75,0,0
2025,35000,23596,22028,0.63,1.64,52521
2026,120000,96202,90000,0.75,0,0
2027,60000,48204,45000,0.75,0,0
2028,378941,12300,284205.75,0.75,6.29,1737827
2029,103218,98057,92896,0.9,0,0
2036,328860,224145,224145,0.68,5.66,1940321
2039,2643741.05,1334610,1334610,0.5,1.18,3308624
2042,3937.5,3074.99,2781,0.75,2.21,10149
2046,2303250,1727437.5,494864.74,0.75,1.25,4143782
